%time,field.data
1439944279680825948,    3     9  1045   401  -220   -70   -63    52  -635

1439944279721426963,   -1     7  1042   381  -233   -70   -64    49  -637

1439944279761604070,    1     9  1037   384  -234   -74   -66    47  -640

1439944279801151990,    6     6  1047   395  -233   -70   -67    45  -642

1439944279841871976,    0     8  1037   389  -236   -67   -68    43  -642

1439944279881474971,    2     8  1047   393  -229   -68   -70    41  -643

1439944279920430898,    5     6  1041   392  -236   -65   -70    40  -642

1439944279960398912,    0     8  1045   392  -235   -71   -71    41  -642

1439944280000457048,    4    11  1041   390  -228   -76   -70    41  -644

1439944280040563106,    5     9  1044   390  -233   -73   -64    54  -630

1439944280081412076,    2    11  1041   385  -231   -75   -63    57  -629

1439944280121267080,    5    12  1045   385  -234   -70   -63    56  -628

1439944280161258935,    2     9  1042   396  -226   -77   -63    58  -624

1439944280201771020,    5     9  1049   386  -228   -74   -62    61  -623

1439944280241832017,    2    11  1044   402  -236   -75   -61    61  -621

1439944280281502008,    5     9  1043   389  -245   -73   -60    63  -618

1439944280321630954,    4     9  1037   400  -216   -72   -58    66  -618

1439944280361316919,    2     9  1042   387  -228   -68   -57    68  -620

1439944280401702880,    1     9  1039   393  -237   -66   -57    66  -622

1439944280441092014,    3     8  1043   393  -239   -72   -57    66  -622

1439944280481650114,   -1    10  1041   386  -229   -71   -58    64  -623

1439944280521322965,    3    10  1044   390  -228   -76   -57    62  -626

1439944280561373949,    3     8  1043   390  -230   -70   -60    61  -630

1439944280601799964,    1     8  1041   392  -226   -77   -61    58  -632

1439944280641169071,    2    10  1042   398  -232   -74   -62    52  -636

1439944280681556940,    5     8  1044   401  -226   -61   -65    49  -637

1439944280721405982,   -1     9  1046   393  -227   -67   -65    47  -640

1439944280761348009,    3     8  1036   373  -233   -70   -67    44  -641

1439944280801023006,    0     8  1041   393  -229   -76   -68    43  -642

1439944280841053009,    2     6  1040   390  -222   -72   -70    41  -643

1439944280881017923,    0     9  1040   394  -233   -73   -71    41  -643

1439944280921004056,   -3     9  1039   382  -241   -76   -70    40  -644

1439944280961357116,    1     7  1041   389  -241   -70   -64    53  -629

1439944281001929044,    2     9  1040   397  -225   -64   -64    54  -629

1439944281041105031,    3     8  1043   393  -234   -68   -63    55  -627

1439944281081775903,    1     8  1047   389  -231   -68   -63    56  -627

