%time,field.data
1439976723078915119,    2     7  1031   439  -209   -85   127   -55  -427

1439976723118894100,    1     8  1032   442  -193   -81   128   -54  -427

1439976723158946037,    0     7  1029   437  -197   -85   126   -54  -426

1439976723199085950,    3     5  1033   440  -193   -75   126   -55  -426

1439976723239566087,    3     7  1041   438  -197   -83   127   -55  -426

1439976723279649972,    3     7  1029   438  -199   -75   126   -54  -425

1439976723318990945,    2     6  1033   449  -203   -91   126   -55  -425

1439976723358788013,    6     8  1036   443  -191   -87   127   -54  -425

1439976723398926973,    0     6  1031   433  -196   -87   126   -54  -425

1439976723438936948,    1     5  1039   435  -191   -81   126   -54  -425

1439976723479805946,    5     8  1028   442  -192   -81   125   -54  -425

1439976723519773006,    4     7  1026   426  -191   -85   126   -55  -424

1439976723560404062,    1     7  1034   433  -193   -81   126   -55  -423

1439976723599054098,    3     7  1032   440  -187   -84   125   -54  -424

1439976723638904094,   -1     9  1031   434  -193   -89   126   -54  -423

1439976723678919076,    2     8  1034   449  -203   -84   125   -54  -423

1439976723719302892,    1     6  1029   440  -203   -77   125   -55  -423

1439976723759794950,   -1     9  1032   453  -189   -85   126   -55  -423

1439976723800262928,   -2     7  1029   448  -200   -84   125   -54  -424

1439976723840040922,    4     8  1034   445  -185   -88   126   -55  -423

1439976723879791975,    3     6  1035   440  -185   -90   125   -54  -423

1439976723919859886,    4     7  1032   437  -196   -79   125   -54  -423

1439976723960514068,    0     8  1036   444  -198   -85   125   -55  -422

1439976723999543905,    2     7  1032   448  -190   -81   125   -55  -422

1439976724039729118,    2     6  1033   435  -200   -84   124   -54  -420

1439976724080008983,    4     6  1034   439  -195   -84   124   -55  -421

1439976724119889974,    2     7  1033   422  -195   -82   124   -56  -421

1439976724159815073,   -1     7  1030   451  -185   -86   124   -55  -421

1439976724198885917,    2     6  1033   431  -197   -79   123   -53  -422

1439976724238920927,    3     6  1034   443  -192   -77   123   -55  -420

1439976724278893947,    6     8  1030   435  -201   -70   124   -55  -420

1439976724320230960,   -4     9  1038   446  -205   -84   125   -54  -421

1439976724360311985,    0    11  1033   448  -187   -87   124   -55  -421

1439976724399636030,    0     8  1035   443  -199   -90   124   -54  -420

1439976724440937995,    2     6  1036   432  -202   -76   124   -55  -421

1439976724479669094,   -3     6  1039   435  -209   -82   124   -55  -420

1439976724520283937,    1     8  1027   426  -205   -87   124   -55  -421

1439976724560175895,    2     7  1031   436  -204   -81   124   -54  -421

1439976724599853992,    7     7  1036   435  -204   -80   123   -54  -421

1439976724639622926,    4     6  1031   449  -205   -77   125   -55  -421

1439976724679606914,    2     1  1027   447  -186   -80   124   -54  -422

1439976724719844102,    3     3  1030   421  -209   -79   123   -54  -421

1439976724760195016,    3     5  1030   445  -198   -84   124   -54  -422

1439976724798830986,    2     6  1028   465  -192   -85   123   -54  -420

1439976724838913917,    6     6  1034   446  -196   -83   123   -55  -421

1439976724879034042,   10     7  1035   443  -188   -84   124   -54  -420

1439976724920294046,    2     6  1032   442  -194   -80   123   -55  -421

1439976724961036920,    0     8  1036   446  -189   -83   123   -55  -421

1439976724999703884,    7     9  1035   448  -185   -82   124   -55  -420

1439976725039527893,    2     9  1036   433  -198   -84   124   -54  -421

1439976725080007076,    0     6  1035   420  -203   -79   124   -54  -421

1439976725119654893,    0     9  1036   444  -188   -83   124   -54  -420

1439976725159694910,    2     8  1033   439  -192   -85   123   -55  -420

1439976725199970960,    4    10  1034   437  -194   -76   123   -55  -420

1439976725240315914,    0     8  1032   437  -204   -91   123   -54  -420

1439976725279922008,   -4     8  1037   446  -185   -80   124   -54  -420

1439976725320610046,    5     8  1036   447  -184   -81   123   -54  -420

1439976725360052108,    4     7  1031   452  -192   -73   123   -55  -419

1439976725398874044,    3     9  1037   429  -197   -89   125   -54  -420

1439976725438816070,   -1     7  1035   456  -186   -77   124   -55  -420

1439976725478909015,    3     6  1029   435  -178   -81   123   -54  -420

1439976725521286010,    5     2  1036   448  -192   -77   123   -54  -420

1439976725559732913,    4     5  1030   402  -197   -90   123   -55  -420

1439976725600013971,    6     1  1028   419  -218   -92   124   -55  -420

1439976725640276908,   13     0  1036   456  -184   -79   124   -54  -421

1439976725680381059,    8     1  1024   465  -170   -59   125   -55  -422

